iter	Passed	Remaining
0	2	2487
1	4	2130
2	5	1938
3	8	2027
4	9	1949
5	11	1866
6	13	1897
7	14	1834
8	16	1794
9	18	1798
10	19	1766
11	21	1746
12	22	1726
13	24	1718
14	25	1698
15	27	1682
16	28	1668
17	30	1666
18	32	1662
19	33	1657
20	35	1660
21	37	1654
22	39	1662
23	40	1661
24	42	1663
25	44	1660
26	45	1656
27	47	1660
28	49	1661
29	51	1662
30	53	1658
31	54	1656
32	56	1655
33	58	1648
34	59	1651
35	61	1647
36	63	1639
37	64	1633
38	66	1630
39	67	1624
40	69	1621
41	71	1621
42	72	1621
43	74	1612
44	75	1606
45	77	1605
46	78	1599
47	80	1593
48	81	1588
49	82	1572
50	84	1568
51	85	1567
52	87	1564
53	89	1563
54	90	1560
55	92	1553
56	93	1551
57	95	1546
58	96	1540
59	98	1537
60	99	1534
61	101	1530
62	102	1526
63	104	1521
64	105	1522
65	107	1517
66	108	1513
67	110	1509
68	111	1507
69	113	1505
70	114	1503
71	116	1502
72	118	1501
73	119	1498
74	121	1494
75	122	1491
76	124	1488
77	125	1485
78	127	1483
79	128	1483
80	130	1480
81	131	1477
82	133	1473
83	135	1473
84	136	1470
85	138	1467
86	139	1465
87	141	1464
88	142	1461
89	144	1458
90	145	1456
91	147	1454
92	148	1451
93	150	1448
94	151	1447
95	153	1445
96	154	1441
97	156	1439
98	158	1440
99	159	1438
100	161	1435
101	162	1432
102	164	1431
103	165	1429
104	167	1426
105	169	1425
106	170	1423
107	172	1422
108	173	1420
109	175	1419
110	177	1418
111	178	1416
112	179	1412
113	181	1411
114	182	1408
115	184	1405
116	185	1403
117	187	1401
118	188	1398
119	190	1395
120	191	1393
121	193	1393
122	195	1390
123	196	1387
124	197	1384
125	199	1383
126	201	1382
127	202	1382
128	204	1381
129	206	1378
130	207	1375
131	208	1373
132	210	1371
133	211	1368
134	213	1366
135	214	1364
136	216	1363
137	218	1362
138	219	1360
139	221	1357
140	222	1357
141	224	1354
142	225	1351
143	227	1350
144	228	1349
145	230	1347
146	231	1345
147	233	1344
148	235	1342
149	236	1339
150	237	1337
151	239	1336
152	240	1333
153	242	1331
154	244	1330
155	245	1328
156	247	1327
157	248	1324
158	250	1322
159	251	1321
160	253	1320
161	255	1319
162	256	1318
163	258	1319
164	260	1318
165	262	1317
166	263	1315
167	265	1313
168	266	1311
169	268	1310
170	269	1308
171	271	1307
172	273	1305
173	274	1304
174	276	1303
175	277	1301
176	279	1299
177	281	1298
178	282	1296
179	284	1294
180	285	1294
181	287	1293
182	289	1292
183	291	1290
184	292	1290
185	294	1288
186	296	1287
187	297	1287
188	299	1285
189	301	1283
190	302	1283
191	304	1282
192	306	1281
193	307	1279
194	309	1278
195	311	1277
196	312	1275
197	314	1273
198	316	1273
199	318	1272
200	319	1270
201	321	1269
202	323	1268
203	325	1268
204	326	1266
205	328	1265
206	329	1264
207	331	1262
208	333	1260
209	334	1259
210	336	1258
211	338	1257
212	340	1256
213	341	1255
214	343	1253
215	345	1252
216	346	1250
217	348	1249
218	350	1248
219	351	1247
220	353	1246
221	355	1244
222	356	1243
223	358	1242
224	360	1240
225	361	1239
226	363	1237
227	364	1235
228	366	1234
229	368	1233
230	370	1231
231	371	1230
232	373	1229
233	375	1228
234	376	1226
235	378	1226
236	380	1224
237	381	1222
238	383	1221
239	385	1221
240	387	1219
241	388	1216
242	390	1215
243	391	1213
244	393	1212
245	395	1211
246	396	1210
247	398	1208
248	399	1206
249	401	1205
250	403	1204
251	405	1202
252	406	1200
253	408	1199
254	410	1198
255	411	1195
256	413	1195
257	415	1193
258	416	1192
259	418	1190
260	419	1189
261	421	1188
262	423	1187
263	425	1186
264	427	1185
265	428	1183
266	430	1181
267	432	1180
268	433	1178
269	435	1177
270	437	1176
271	439	1175
272	440	1173
273	442	1172
274	444	1170
275	445	1169
276	447	1167
277	449	1166
278	450	1164
279	452	1162
280	453	1161
281	455	1160
282	457	1158
283	458	1156
284	460	1155
285	462	1154
286	463	1151
287	465	1149
288	466	1148
289	468	1147
290	470	1145
291	472	1144
292	473	1143
293	475	1141
294	476	1139
295	478	1137
296	479	1135
297	481	1133
298	482	1131
299	484	1129
300	485	1127
301	486	1125
302	488	1123
303	490	1122
304	491	1120
305	493	1118
306	494	1116
307	496	1114
308	497	1113
309	499	1111
310	500	1109
